T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_A_prethodan _N_znanje,_A_prethodan _N_znanje _PREF_iz,_A_prethodan _N_znanje,_ADJ_previous_NOUN_knowledge,0,1
_A_konačan _N_dokument,_A_konačan _N_dokument,_A_konačan _N_dokument,_ADJ_final_NOUN_document,1,1
_PRO_isti _A_osnovni _N_značenje,_PRO_isti _A_osnovni _N_značenje,_PRO_isti _A_osnovni _N_značenje,_ADJ_basic_NOUN_meaning,0,0
_A_personalan _N_bibliografija,_A_personalan _N_bibliografija,_A_personalan _N_bibliografija,_ADJ_personal_NOUN_bibliography,0,1
_N_fajl _PREF_za _A_normativan _N_kontrola _PREF_iz,_N_fajl _PREF_za _A_normativan _N_kontrola,_N_fajl _PREF_za _A_normativan _N_kontrola,_ADJ_authoritative_NOUN_name,0,0
_N_biblioteka _PREF_i _A_evropski _A_digitalan,_A_evropski _A_digitalan _N_biblioteka,_A_evropski _A_digitalan _N_biblioteka,_ADJ_european_NOUN_digital_NOUN_library,1,1
ili _A_velik _N_broj,ili _A_velik _V_brojati,_A_velik _V_brojati,_NOUN_set,0,0
_PREF_i _A_drugi _N_karakteristika,_A_drugi _N_karakteristika,_A_drugi _N_karakteristika,_ADJ_characteristic,0,0
_PRO_ona _PRO_taj _N_oblik _N_komunikacija _N_sistem,_PRO_ona _PRO_taj _N_oblik _N_komunikacija _N_sistem,_N_oblik _N_komunikacija _N_sistem,_NOUN_form_ADP_of_NOUN_communication,1,0
_N_nezavisnost _PREF_od _N_jezik,_N_nezavisnost _PREF_od _N_jezik _PREF_i,_N_nezavisnost _PREF_od _N_jezik,_NOUN_independency_ADP_of_NOUN_language,1,0
kao _A_poseban _N_kategorija,kao _A_poseban _N_kategorija,_A_poseban _N_kategorija,_ADJ_separate_NOUN_category,1,1
_N_filozofija _A_slobodan _N_softver,_N_filozofija _A_slobodan _N_softver,_N_filozofija _A_slobodan _N_softver,_ADJ_free_NOUN_software,1,0
_N_donošenje _N_odluka _PRO_koji,_N_donošenje _N_odluka,_N_donošenje _N_odluka,_NOUN_decision_VERB_making,0,1
_N_biblioteka _PREF_u _N_konzorcijum,_N_konzorcijum _N_biblioteka,_N_konzorcijum _N_biblioteka,_NOUN_consortium_ADP_of_NOUN_library,1,1
ramima _N_god _PRO_koji,ramima _N_god _PRO_koji,ramima _N_god,_NOUN_treaty,0,0
_N_sintagma _PREF_na _A_srpski _N_jezik,_N_sintagma _PREF_na _A_srpski _N_jezik,_N_sintagma _PREF_na _A_srpski _N_jezik,_ADJ_serbian_NOUN_corpus,1,0
oclc europe,oclc europe,oclc europe,_NOUN_oclc_NOUN_europe,1,1
_PRO_isti _N_predavač,_PRO_isti _N_predavač,_PRO_isti _N_predavač,_NOUN_lecturer,0,0
_A_terminološki _N_sistem,_A_terminološki _N_sistem,_A_terminološki _N_sistem,_ADJ_terminological_NOUN_system,1,1
_N_metod _N_klasifikacija _PRO_ona,_N_metod _N_klasifikacija,_N_metod _N_klasifikacija,_NOUN_classification_VERB_method,1,1
_A_bibliotečki _N_udruženje sa,_A_bibliotečki _N_udruženje sa,_A_bibliotečki _N_udruženje,_NOUN_library_NOUN_association,1,1
_PREF_i _N_merenje _N_performans,_N_merenje _N_performans,_N_merenje _N_performans,_NOUN_performance_VERB_measurement,1,1
ili _V_biti _PRO_koji _A_drugi _N_tip,_N_tip _PREF_i _A_drugi,_A_drugi _N_tip,_NOUN_type,0,0
_V_dati _A_korektan _N_odgovor,_A_korektan _N_odgovor,_A_korektan _N_odgovor,_NOUN_correct_NOUN_answer,1,1
_A_nastavni _N_model _PREF_za,_A_nastavni _N_model,_A_nastavni _N_model,_NOUN_pedagogic_NOUN_model,1,1
_PRO_ona _A_osnovni _V_posati,_PRO_ona _A_osnovni _V_posati _V_dati,_A_osnovni _V_posati,_NOUN_core_NOUN_business,1,1
_N_kontekst _N_informacija,_N_informacija _PREF_u _N_kontekst,_N_informacija _PREF_u _N_kontekst,_NOUN_context_NOUN_information,1,0
_A_drugi _N_značenje,_A_drugi _N_značenje,_A_drugi _N_značenje,_VERB_meaning,0,0
konfiguracijske _N_datoteka,konfiguracijske _N_datoteka _PRO_koji,konfiguracijske _N_datoteka,_NOUN_configuration_NOUN_file,1,1
_N_knjiga _PREF_u _A_štampan _N_izdanje,_N_knjiga _PREF_u _A_štampan _N_izdanje,_N_knjiga _PREF_u _A_štampan _N_izdanje,_VERB_printed_NOUN_book,0,1
_PRO_ona _N_odabir _N_resurs _PREF_i,_PRO_ona _N_odabir _N_resurs,_N_odabir _N_resurs,_NOUN_selection_ADP_of_NOUN_resource,1,1
_A_bibliotečki _N_statistika _PREF_iz _N_godina _PREF_i,_A_bibliotečki _N_statistika _PREF_iz _N_godina,_A_bibliotečki _N_statistika _PREF_iz _N_godina,_NOUN_library_ADJ_statistic,1,0
_A_odnosni _A_standardan _N_devijacija,_A_odnosni _A_standardan _N_devijacija,_A_odnosni _A_standardan _N_devijacija,_ADJ_standard_NOUN_deviation,1,0
_A_kulturan _N_uticaj,_A_kulturan _N_uticaj _PRO_koji,_A_kulturan _N_uticaj,_ADJ_cultural_NOUN_influence,1,1
_A_maternji _N_govornik,_A_maternji _N_govornik,_A_maternji _N_govornik,_ADJ_native_NOUN_speaker,1,1
_N_ugovor _PREF_u _N_oblast,_N_ugovor _PREF_u _N_oblast,_N_ugovor _PREF_u _N_oblast,_NOUN_agreement,0,0
_N_podatak _PREF_na _N_veb,_N_podatak _PREF_na _N_veb _V_jesam,_N_podatak _PREF_na _N_veb,_NOUN_web_ADP_of_NOUN_data,1,0
_PREF_i _N_stranica _N_oko,_N_oko _PREF_i _N_stranica,_N_stranica _PREF_za _N_oko,_NOUN_page,0,0
_PREF_u _A_tradicionalan _N_biblioteka,_PREF_u _A_tradicionalan _N_biblioteka _PRO_koji _PREF_su,_A_tradicionalan _N_biblioteka,_ADJ_traditional_NOUN_library,1,1
_A_služben _N_glasnik,_A_služben _N_glasnik,_A_služben _N_glasnik,_NOUN_gazette,0,1
_N_dokument _PREF_u _A_digitalan _N_biblioteka,_N_dokument _PREF_u _A_digitalan _N_biblioteka,_N_dokument _PREF_u _A_digitalan _N_biblioteka,_NOUN_document_ADP_in_ADJ_digital_NOUN_library,1,1
_N_metod _N_učenje,_N_metod _N_učenje,_N_metod _PREF_za _N_učenje,_NOUN_machine_NOUN_learning_NOUN_method,1,0
_N_fakultet _PREF_na _N_univerzitet,_N_fakultet _N_univerzitet,_N_fakultet _N_univerzitet,_NOUN_university_NOUN_faculty,1,1
_N_okvir _A_terminološki _N_resurs,_N_okvir _A_terminološki _N_resurs _PREF_i,_N_okvir _A_terminološki _N_resurs,_ADJ_terminological_NOUN_resource,1,0
_N_prostor _N_biblioteka,_N_prostor _N_biblioteka _PREF_su,_N_prostor _PREF_u _N_biblioteka,_NOUN_alternative_NOUN_space_NOUN_library,1,0
_N_oznaka _N_vrsta _N_reč,_N_oznaka _V_vrstati _N_reč,_N_oznaka _V_vrstati _N_reč,_NOUN_part_ADP_of_NOUN_speech,0,0
_A_ličan _N_ime _PREF_i,_A_ličan _N_ime _PRO_koji,_A_ličan _N_ime _N_ime,_ADJ_personal_NOUN_name,0,0
_A_zajednički _N_projekt,_A_zajednički _N_projekt,_A_zajednički _N_projekt,_ADJ_joint_NOUN_project,1,1
_A_informacioni _N_stručnjak _V_dati,_A_informacioni _N_stručnjak,_A_informacioni _N_stručnjak,_NOUN_information_ADJ_professional,0,1
_V_brojati _N_informacija _PREF_za,_V_brojati _N_informacija _PREF_za,_N_informacija _PREF_o _V_brojati,_NOUN_amount_ADP_of_NOUN_information,1,0
_A_jezički _N_tehnologija _PREF_na,_A_jezički _N_tehnologija kao _PREF_i,_A_jezički _N_tehnologija,_NOUN_group_ADP_for_NOUN_language_NOUN_technology,1,0
_N_dostavljač _N_podatak,_N_dostavljač _N_podatak,_N_dostavljač _N_podatak,_NOUN_data_VERB_provider,1,1
_A_konačan _N_verzija,_A_konačan _N_verzija,_A_konačan _N_verzija,_ADJ_final_NOUN_version,1,1
_PREF_i _A_verski _N_literatura,_PREF_i _A_verski _N_literatura _PREF_su _PRO_ja,_A_verski _N_literatura,_ADJ_religious_NOUN_literature,1,1
_PREF_za _N_uklanjanje _N_sufiks,_PREF_za _N_uklanjanje _N_sufiks,_N_uklanjanje _N_sufiks,_NOUN_suffix_NOUN_removal,1,1
_N_softver _PRO_koji _A_rad,_N_softver _PRO_koji _A_rad,_N_softver _PREF_za _A_rad,_NOUN_software_ADP_for_NOUN_work,1,1
_PREF_i _A_skladišni _N_kapacitet,_PREF_i _A_skladišni _N_kapacitet,_A_skladišni _N_kapacitet,_NOUN_storage,0,0
_A_kolaborativan _N_alat,_A_kolaborativan _N_alat _PRO_koji,_A_kolaborativan _N_alat,_ADJ_collaborative_NOUN_tool,0,1
_A_srpski _N_autor,_A_srpski _N_autor _PREF_iz,_A_srpski _N_autor,_ADJ_serbian_NOUN_author,1,1
_N_kompatibilnost _PREF_u _A_rad,_N_kompatibilnost _PREF_u _A_rad,_N_kompatibilnost _PREF_u _A_rad,_NOUN_metadata_NOUN_interoperability,1,0
_N_sredstvo _A_masovan _N_medij,_PREF_u _N_sredstvo _A_masovan _N_medij već,_N_sredstvo _A_masovan _N_medij,_NOUN_mass_NOUN_medium,0,0
_A_rečenični _A_člani _A_stran _V_poreći,_A_rečenični _A_člani _A_stran _V_poreći,_A_rečenični _A_člani _A_stran _V_poreći,_ADJ_foreign_NOUN_origin,1,0
_A_konkretan _V_primeriti _PREF_iz,_A_konkretan _N_primer _PREF_i,_A_konkretan _N_primer,_ADJ_concrete_NOUN_example,1,1
_A_vitičast _N_zagrada,_A_vitičast _N_zagrada,_A_vitičast _N_zagrada,_ADV_curly_VERB_bracket,1,1
_N_parsiranje _N_pronalazak,_N_parsiranje _N_pronalazak,_N_parsiranje _N_pronalazak,_VERB_parsing,0,0
_N_jezgra _N_sistem,_N_jezgra _N_sistem _V_hteti,_N_jezgra _N_sistem,_NOUN_core,0,0
_A_centralni _N_sistem _PREF_i,_A_centralni _N_sistem,_A_centralni _N_sistem,_ADJ_central_NOUN_system,1,1
_N_podskup sinsetova,_N_podskup sinsetova,_N_podskup sinsetova,_NOUN_subset_ADP_of_NOUN_synset,1,1
_N_prst _PREF_na _N_ruka,_N_prst _PREF_na _N_ruka,_N_ruka _N_prst,_NOUN_finger,0,0
_V_sudovati _A_vrhovni,_N_sud _A_vrhovni,_A_vrhovni _N_sud,_NOUN_supreme_NOUN_court,1,1
_A_elektronski _N_forma,_A_elektronski _N_forma,_A_elektronski _N_forma,_ADJ_electronic_NOUN_form,0,1
_A_srpski _N_termin,_A_srpski _N_termin,_A_srpski _N_termin,_NOUN_term_ADP_in_ADJ_serbian,1,1
_A_nestrukturiran _N_aplikacija _PREF_za _N_upravljanje,_A_nestrukturiran _N_aplikacija _PREF_za _N_upravljanje,_A_nestrukturiran _N_aplikacija _PREF_za _N_upravljanje,_NOUN_UIMA,1,0
_N_okvir _N_projekt,_N_okvir _N_projekt,_N_okvir _PREF_za _N_projekt,_NOUN_scope,0,0
_PREF_s _A_drugi _A_stran,_A_drugi _A_stran kao,_A_drugi _A_stran,_NOUN_hand,0,0
_A_finansijski _N_situacija,_A_finansijski _N_situacija,_A_finansijski _N_situacija,_ADJ_financial_NOUN_situation,1,1
ili _A_opšti _N_interes,_N_interes _PREF_i _A_opšti,_A_opšti _N_interes,_ADJ_general_NOUN_interest,1,1
_PREF_i _N_rad _N_autor _PREF_iz,_A_rad _N_autor _PREF_iz,_A_rad _N_autor,_NOUN_author_ADP_of_NOUN_paper,1,0
_A_geološki _N_terminologija _PREF_i,_A_geološki _N_terminologija,_A_geološki _N_terminologija,_NOUN_geologic_NOUN_terminology,1,1
_A_komercijalan _N_svrha,_A_komercijalan _N_svrha,_A_komercijalan _N_svrha,_ADJ_commercial_NOUN_purpose,1,1
_PREF_na _N_tekst _PREF_na _N_jezik,_PREF_na _N_tekst _PREF_na _N_jezik _PREF_za _PRO_koji,_N_tekst _PREF_na _N_jezik,_NOUN_text_ADP_in_ADJ_different_NOUN_language,1,0
_N_klasifikacija _N_tekst _PREF_na _A_srpski _N_jezik _PREF_i,_N_klasifikacija _N_tekst _PREF_na _A_srpski _N_jezik,_N_klasifikacija _N_tekst _PREF_na _A_srpski _N_jezik,_NOUN_text_NOUN_classification_ADP_in_ADJ_serbian,1,1
_PRO_koji _V_jesam _N_naučnica _N_informatičar,_PRO_koji _V_jesam _N_naučnica _N_informatičar,_N_naučnica _N_informatičar,_NOUN_computer_NOUN_scientist,1,1
tei xml,tei xml,xml tei,_NOUN_tei_NOUN_xml,1,0
_N_obzir _N_rast,_PREF_u _N_obzir _N_rast,_N_obzir _N_rast,_NOUN_growth,0,0
impakt _N_faktor,impakt _N_faktor _PREF_su,impakt _N_faktor,_NOUN_impact_NOUN_factor,1,1
_A_leksički _N_sistem,_A_leksički _N_sistem,_A_leksički _N_sistem,_ADJ_vocabulary,0,0
a _N_statistika _N_korišćenje _PREF_u,a _N_statistika _N_korišćenje,_N_statistika _N_korišćenje,_NOUN_usage_ADP_of_ADJ_statistic,1,0
_A_maternji _N_jezik,_A_maternji _N_jezik,_A_maternji _N_jezik,_ADJ_native_NOUN_language,0,1
_N_učenje _N_klasifikator,_N_učenje _N_klasifikator,_N_učenje _N_klasifikator,_ADJ_classifier,0,0
html _N_dok,_PREF_u html _N_dok,html _N_dok,_NOUN_HTML,1,0
_A_rimski _N_broj,_A_rimski _V_brojati,_A_rimski _V_brojati,_NOUN_roman_NOUN_numeral,0,1
_A_kulturan _N_zajednica,_A_kulturan _N_zajednica,_A_kulturan _N_zajednica,_ADJ_cultural_NOUN_community,1,1
_N_format _A_elektronski _N_izvor,_N_format _A_elektronski _N_izvor,_N_format _A_elektronski _N_izvor,_ADJ_electronic_NOUN_resource,0,0
_N_model _N_parametar,_N_model _N_parametar,_N_model _N_parametar,_NOUN_model_NOUN_parameter,1,0
_N_red _N_čekanje,_N_red _N_čekanje,_N_red _N_čekanje,_NOUN_queue,0,1
_A_policijski _N_akcija,_A_policijski _N_akcija,_A_policijski _N_akcija,_ADJ_legal_NOUN_regulation,1,0
_N_institut _PREF_za _A_informacioni _N_zakonodavstvo,_N_institut _PREF_za _A_informacioni _N_zakonodavstvo,_N_institut _PREF_za _A_informacioni _N_zakonodavstvo,_NOUN_institute_ADP_for_NOUN_information_NOUN_law,1,1
_A_zajednički _N_poduhvat,_A_zajednički _N_poduhvat,_A_zajednički _N_poduhvat,_ADJ_joint_NOUN_effort,1,1
_N_mesto _N_biće _N_događaj ili,_N_mesto _V_biti _V_događati,_N_mesto _V_biti _V_događati,_NOUN_event,0,0
_A_izvoran _N_tekst,_A_izvoran _N_tekst,_A_izvoran _N_tekst,_ADJ_original_NOUN_text,1,1
_N_drvo _N_odluka,_N_drvo _N_odluka _PRO_sebe,_N_drvo _N_odluka,_NOUN_decision_NOUN_tree,1,1
_PREF_i _A_računarski _N_stručnjak,_PREF_i _A_računarski _N_stručnjak,_A_računarski _N_stručnjak,_NOUN_computer_NOUN_scientist,0,1
_A_slovenski _N_alfabet,_A_slovenski _N_alfabet,_A_slovenski _N_alfabet,_ADJ_slavonic_NOUN_alphabet,1,1
_A_drugi _A_programski _N_jezik _V_jesam,_A_drugi _A_programski _N_jezik,_A_drugi _A_programski _N_jezik,_NOUN_programming_NOUN_language,1,0
_A_svakodnevan _N_potrepština _PREF_su,_A_svakodnevan _N_potrepština,_A_svakodnevan _N_potrepština,_NOUN_everyday_NOUN_life,1,0
_N_nastavnik _N_katedra,_N_nastavnik _N_katedra,_N_nastavnik _N_katedra,_NOUN_information_NOUN_science_NOUN_department,1,0
_A_standardan metapodataka,_A_standardan metapodataka _PREF_za,_A_standardan metapodataka,_NOUN_metadata_VERB_standard,1,1
_PREF_iz _N_grupa _N_tropi _PRO_koji,_PREF_iz _N_grupa _N_tropi,_N_grupa _N_tropi,_NOUN_group_ADP_of_NOUN_trope,1,0
_PREF_iz _A_računarski _N_nauk _PREF_i,_PRO_ona _PREF_za _A_računarski _N_nauk,_A_računarski _N_nauk,_NOUN_computer_NOUN_science,0,1
_N_prednost vikija,_N_prednost vikija a,_N_prednost vikija,_NOUN_advantage_ADP_of_NOUN_wiki,1,1
_PREF_u _A_srpski _A_književan _N_terminologija,_A_srpski _A_književan _N_terminologija,_A_srpski _A_književan _N_terminologija,_ADJ_serbian_NOUN_literature_NOUN_terminology,1,1
_N_integracija _N_biblioteka,_N_integracija _N_biblioteka,_N_integracija _N_biblioteka,_NOUN_integration_ADP_of_NOUN_library,1,0
_N_opremljenost _N_biblioteka,_N_opremljenost _N_biblioteka,_N_opremljenost _N_biblioteka,_NOUN_equipment,0,0
pdf _N_format _PREF_iz,_PREF_u pdf _N_format,pdf _N_format,_NOUN_PDF,1,0
_PREF_iz _N_metod mpv,_PREF_iz _N_metod mpv sa,mpv _N_metod,_NOUN_SVM,1,0
_A_drugi _A_kodni _V_rasporediti,_A_drugi _A_kodni _N_raspored,_A_drugi _A_kodni _N_raspored,_VERB_coding_NOUN_scheme,1,0
_N_okvir _PREF_za _N_licenciranje,_N_okvir _PREF_za _N_licenciranje,_N_okvir _PREF_za _N_licenciranje,_VERB_licensing_NOUN_framework,1,1
_PRO_ona _A_engleski vikipedija,_PRO_ona _A_engleski vikipedija,_A_engleski vikipedija,_ADJ_english_NOUN_wikipedia,1,1
_A_operativan _N_sistem,_A_operativan _N_sistem _PREF_i,_A_operativan _N_sistem,_VERB_operating_NOUN_system,1,1
_A_decimalan _N_klasifikacija,_A_decimalan _N_klasifikacija,_A_decimalan _N_klasifikacija,_ADJ_decimal_NOUN_classification,0,1
_A_prvobitan _N_verzija,_A_prvobitan _N_verzija,_A_prvobitan _N_verzija,_ADJ_initial_NOUN_version,1,1
_A_digitalan _N_znanje,_A_digitalan _N_znanje,_A_digitalan _N_znanje,_ADJ_digital_NOUN_knowledge,1,1
_N_odeljak _A_rad,_N_odeljak _A_rad,_N_odeljak _A_rad,_NOUN_section,0,0
_PREF_i _N_dostupnost _N_informacija,_N_dostupnost _N_informacija,_N_dostupnost _N_informacija,_NOUN_availability_ADP_of_NOUN_information,1,1
_A_kreditni _N_poen,ili _A_kreditni _N_poen,_A_kreditni _N_poen,_NOUN_credit_NOUN_point,1,1
_A_grčki _N_alfabet,_A_grčki _N_alfabet _PRO_sebe,_A_grčki _N_alfabet,_NOUN_greek_VERB_alphabet,0,1
_PREF_i _N_razvoj _N_aplikacija,_PREF_i _N_razvoj _N_aplikacija _PREF_i,_N_razvoj _N_aplikacija,_NOUN_development_ADP_of_NOUN_application,1,1
_N_testiranje _PREF_u _N_datoteka,_N_testiranje _PREF_u _N_datoteka,_N_testiranje _PREF_u _N_datoteka,_NOUN_file,0,0
_PREF_od _PRO_sam _N_oblik _PRO_koji _PRO_sebe _PRO_taj _N_tekst,_N_oblik _PRO_koji _PRO_sebe _PRO_taj _N_tekst,_N_oblik _N_tekst,_NOUN_form_ADP_of_NOUN_text,1,1
_N_zavod _PREF_za _N_zaštita _N_prirod _PRO_ona,_N_zavod _PREF_za _N_zaštita _N_prirod _PRO_ona,_N_zavod _PREF_za _N_zaštita _N_prirod,_NOUN_institute_ADP_for_NOUN_nature_NOUN_protection,1,1
_N_muzej _A_savremen _N_umetnost,_N_muzej _A_savremen _N_umetnost,_N_muzej _A_savremen _N_umetnost,_NOUN_museum_ADP_of_ADJ_contemporary_NOUN_art,1,1
_PREF_u _A_privatan _N_pismo,_A_privatan _V_piti,_A_privatan _V_piti,_ADJ_personal_NOUN_letter,0,1
_PREF_i _N_veb _N_lokacija _PREF_na _PRO_koji,_PREF_i _N_veb _N_lokacija _PREF_na,_PRO_sam _N_veb _N_lokacija,_NOUN_web_NOUN_page,0,0
_N_sistem _N_inženjer,_N_sistem _N_inženjer,_N_sistem _N_inženjer,_NOUN_system_NOUN_engineer,0,1
_A_domaći _N_autor _PREF_od,_A_domaći _N_autor,_A_domaći _N_autor,_ADJ_national_NOUN_author,1,1
_N_izdanje _N_biblioteka,_N_izdanje _N_biblioteka,_N_izdanje _N_biblioteka,_NOUN_library_NOUN_publication,0,1
_A_autorski _A_prav _V_dati,_A_autorski _A_prav _V_dati,_A_autorski _A_prav,_NOUN_copyright_NOUN_holder,1,0
_N_biblioteka _PREF_u _A_ostali _N_organizacija,_N_biblioteka _PREF_u _A_ostali _N_organizacija,_N_biblioteka _PREF_u _A_ostali _N_organizacija,_NOUN_library_NOUN_organization,0,0
_A_govorni _N_baza _N_podatak,_V_bazati _N_podatak _PRO_ona _A_govorni,_A_govorni _V_bazati _N_podatak,_NOUN_speech_NOUN_database,1,1
_A_frontalan _N_deo _PREF_na _N_veb _PREF_i,_A_frontalan _N_deo _PREF_na _N_veb,_A_frontalan _N_deo _PREF_na _N_veb,_NOUN_web_VERB_frontend,1,1
_A_jezički _N_tehnologija _PREF_na _A_matematički _N_fakultet,_A_jezički _N_tehnologija _PREF_na _A_matematički _N_fakultet,_A_jezički _N_tehnologija _A_matematički _N_fakultet,_NOUN_faculty_ADP_of_NOUN_mathematics,1,0
_A_kritičan _N_masa,_A_kritičan _N_masa,_A_kritičan _N_masa,_ADJ_critical_NOUN_mass,0,1
_A_bibliografski _N_podatak _PREF_iz,_A_bibliografski _N_podatak _PREF_o,_A_bibliografski _N_podatak,_ADJ_bibliographic_NOUN_data,1,1
_N_korisnik _N_biblioteka _PRO_ona,_PREF_i _PREF_za _N_biblioteka _PREF_i _PREF_za _PRO_njihov _N_korisnik,_N_biblioteka _N_korisnik _N_biblioteka,_NOUN_library_NOUN_user,1,0
_PRO_ona _A_zajednički _N_korišćenje _N_resurs _PRO_koji,_PRO_ona _A_zajednički _N_korišćenje _N_resurs _PRO_koji,_A_zajednički _N_korišćenje _N_resurs,_NOUN_resource_VERB_sharing,1,1
_A_geološki _A_informacioni _N_sistem _A_geološki,_PREF_u _A_geološki _A_informacioni _N_sistem,_A_geološki _A_informacioni _N_sistem,_NOUN_geologic_NOUN_information_NOUN_system,1,1
_N_tekst _PRO_koji _PRO_sebe _V_izvoditi,_N_tekst _PRO_koji _PRO_sebe _N_izvod _N_tekst _PRO_koji,_N_izvod _PREF_iz _N_tekst,_NOUN_performance_VERB_text,1,0
_A_latinični _N_pismo ili,_A_latinični _V_piti,_A_latinični _V_piti,_NOUN_latin_VERB_alphabet,1,1
_A_kulturan _A_istorijski _N_institucija a,_A_kulturan _A_istorijski _N_institucija,_A_kulturan _A_istorijski _N_institucija,_ADJ_cultural_NOUN_heritage_NOUN_institution,1,0
_N_sintagma _PREF_na _A_srpski _N_jezik _PRO_koji _PRO_sebe,_N_sintagma _PREF_na _A_srpski _N_jezik _PRO_koji,_N_sintagma _PREF_na _A_srpski _N_jezik,_NOUN_phrase_ADP_in_ADJ_serbian,1,1
_A_međunarodan _N_sporazum,_A_međunarodan _N_sporazum,_A_međunarodan _N_sporazum,_ADJ_international_NOUN_agreement,1,1
_A_seksualan _N_odnos,_A_seksualan _N_odnos,_A_seksualan _N_odnos,_ADJ_sexual_NOUN_intercourse,1,1
_N_forma _N_tekst _PRO_koji,_PREF_i _N_forma _N_tekst,_N_forma _N_tekst,_NOUN_form_ADP_of_NOUN_text,1,1
_A_klasifikacioni _N_sistem _PREF_i,_A_klasifikacioni _N_sistem,_A_klasifikacioni _N_sistem,_NOUN_classification_NOUN_system,0,1
_PRO_ona _A_povezan sa _N_modul,_PRO_ona _A_povezan sa _N_modul,_A_povezan _N_modul,_NOUN_interface,0,0
_A_literaran _N_tekst _PREF_za,_A_literaran _N_tekst,_A_literaran _N_tekst,_ADJ_literary_NOUN_text,1,1
_N_razmena _N_materijal,_N_razmena _N_materijal _PREF_na,_N_razmena _N_materijal,_NOUN_exchange,0,0
_V_dati _PRO_sebe _A_osnovni _N_tip _N_kolekcija,_PREF_i _A_osnovni _N_tip _N_kolekcija,_A_osnovni _N_tip _N_kolekcija,_ADJ_basic_NOUN_collection_NOUN_type,1,1
_A_drugi _A_krivičan _V_delati,_A_drugi _A_krivičan _N_deo,_A_drugi _A_krivičan _N_deo,_ADJ_criminal_NOUN_activity,1,0
_PREF_i _A_engleski _N_jezik,_A_engleski _N_jezik,_A_engleski _N_jezik,_ADJ_english_NOUN_text,1,1
_PRO_ona _A_govorni _N_korpus,_A_govorni _N_korpus _PREF_za,_A_govorni _N_korpus,_NOUN_speech_NOUN_corpus,1,1
_PRO_ona _V_dati _PRO_ona _A_slobodan _N_softver,kao _A_slobodan _N_softver,_A_slobodan _N_softver,_ADJ_free_NOUN_software,0,1
_V_delati _N_pojmovnik,_N_deo _N_pojmovnik _PRO_ona,_N_deo _N_pojmovnik,_NOUN_thesaurus,0,0
_A_srpskohrvatski _N_jezik _PREF_i,_A_srpskohrvatski _N_jezik,_A_srpskohrvatski _N_jezik,_ADJ_serbian_NOUN_language,1,0
_A_postojeći _N_sistem _PREF_za _A_bibliotečki _N_poslovanje _PREF_i,_A_postojeći _N_sistem _PREF_za _A_bibliotečki _N_poslovanje _PREF_i,_A_postojeći _N_sistem _PREF_za _A_bibliotečki _N_poslovanje,_NOUN_library_NOUN_management_NOUN_system,0,0
_A_dalek _N_poboljšanje,_A_dalek _N_poboljšanje,_A_dalek _N_poboljšanje,_NOUN_improvement,0,0
_A_autorski _A_prav _PREF_na,_A_autorski _A_prav _PREF_na,_A_autorski _A_prav,_NOUN_copyright,0,1
_A_prvi _N_utisak _V_dati _PRO_on,_A_prvi _N_utisak _V_dati,_A_prvi _N_utisak,_ADJ_first_NOUN_impression,0,1
_N_sistem _PREF_za _N_upravljanje _N_učenje _PREF_do,_N_sistem _PREF_za _N_upravljanje _N_učenje _PREF_do,_N_sistem _PREF_za _N_upravljanje _N_učenje,_NOUN_lm,0,1
_N_akademija _PREF_i _A_srpski _N_akademija _N_nauk,_N_akademija _PREF_i _A_srpski _N_akademija _N_nauk,_A_srpski _N_akademija _N_nauk,_ADJ_serbian_NOUN_academy_ADP_of_NOUN_science,1,1
_N_metod _N_evaluacija _PRO_isti,_N_metod _N_evaluacija _PRO_isti,_PRO_isti _N_metod _N_evaluacija,_NOUN_evaluation_VERB_method,1,0
_A_donet _N_zakon _PREF_o,_A_donet _N_zakon _PREF_o,_A_donet _N_zakon,_ADJ_national_NOUN_law,1,0
_A_drugi _A_srodan _N_institucija,_PREF_i _A_drugi _A_srodan _N_institucija,_A_drugi _A_srodan _N_institucija,_VERB_related_NOUN_institution,1,0
_N_cilj _N_ocenjivanje,_N_cilj _N_ocenjivanje,_N_cilj _N_ocenjivanje,_NOUN_evaluation,0,0
_N_godina _PREF_u _N_oblast,_N_godina _PREF_u _N_oblast,_N_godina _PREF_u _N_oblast,_NOUN_area,0,0
if _N_karakter,if _N_karakter,if _N_karakter,_NOUN_character,0,0
_N_integracija _N_biblioteka,_N_integracija _N_biblioteka,_N_integracija sa _N_biblioteka,_NOUN_integration_ADP_of_NOUN_library,1,0
_PREF_i _A_plitak _N_parser,_A_plitak _N_parser,_A_plitak _N_parser,_NOUN_shallow_NOUN_parser,1,1
_N_grupa _PREF_za _A_jezički _N_tehnologija kao _PREF_i,_N_grupa _PREF_za _A_jezički _N_tehnologija,_N_grupa _PREF_za _A_jezički _N_tehnologija,_NOUN_human_NOUN_language_NOUN_technology_NOUN_group,1,1
_PREF_i _A_drugi _A_srpski _N_autor,_A_drugi _A_srpski _N_autor,_A_drugi _A_srpski _N_autor,_ADJ_serbian_NOUN_author,1,0
_N_razvoj _A_geološki _N_terminologija _PREF_i,_N_razvoj _A_geološki _N_terminologija,_N_razvoj _A_geološki _N_terminologija,_NOUN_geologic_NOUN_terminology,1,0
